Conflict_ID,Route id,Exit_Signal,Point,Position,In Route,Conflict_Route_id,Exit_Signal,Point_Position,In_Route,Unless_Condition,Conflicted
SSS/R206C-SSN/R304A,SSS/R206C,SSS/S426,SSS/P203,reverse,TRUE,SSN/R304A,SSS/S306,normal,FALSE,unless_pseudo_normal,YES
SSS/R207B-SSN/R304A,SSS/R207B,SSS/S021,SSS/P203,reverse,TRUE,SSN/R304A,SSS/S306,normal,FALSE,unless_pseudo_normal,YES
SSS/R303B-SSN/R304A,SSS/R303B,SSS/S021,SSS/P203,reverse,TRUE,SSN/R304A,SSS/S306,normal,FALSE,unless_pseudo_normal,YES
TSS/R716A-SSN/R704B,TSS/R716A,TSS/S718,SSN/P604,normal,FALSE,SSN/R704B,TSS/S720,reverse,TRUE,unless_pseudo_normal,YES
NME/R526B-NME/R529A,NME/R526B,NME/S508,NME/P429,normal,FALSE,NME/R529A,NME/C487,reverse,TRUE,unless_pseudo_reverse,YES
NME/R526B-NME/R529B,NME/R526B,NME/S508,NME/P429,normal,FALSE,NME/R529B,NME/C485,reverse,TRUE,unless_pseudo_reverse,YES
NME/R526B-NME/R529C,NME/R526B,NME/S508,NME/P429,normal,FALSE,NME/R529C,NME/C483,reverse,TRUE,unless_pseudo_reverse,YES
NME/R529A-NME/R526B,NME/R529A,NME/C487,NME/P429,reverse,TRUE,NME/R526B,NME/S508,normal,FALSE,unless_pseudo_reverse,YES
NME/R529B-NME/R526B,NME/R529B,NME/C485,NME/P429,reverse,TRUE,NME/R526B,NME/S508,normal,FALSE,unless_pseudo_reverse,YES
NME/R529C-NME/R526B,NME/R529C,NME/C483,NME/P429,reverse,TRUE,NME/R526B,NME/S508,normal,FALSE,unless_pseudo_reverse,YES
FSA/R330A-FSD/R147A,FSA/R330A,FSA/S144,,,FALSE,FSD/R147A,FSD/S145,,FALSE,,YES
FSA/R330A-FSD/R155B,FSA/R330A,FSA/S144,,,FALSE,FSD/R155B,FSD/S147,,FALSE,,YES
FSD/R147A-FSA/R330A,FSD/R147A,FSD/S145,,,FALSE,FSA/R330A,FSA/S144,,FALSE,,YES
FSD/R155B-FSA/R330A,FSD/R155B,FSD/S147,,,FALSE,FSA/R330A,FSA/S144,,FALSE,,YES
